"sampleID","read_count","g_Acidaminococcus","g_Acinetobacter","g_Actinobaculum","g_Actinomyces","g_Actinotignum","g_Aerococcus","g_Aeromonas","g_Agrobacterium","g_Alistipes","g_Alloiococcus","g_Alloprevotella","g_Alloscardovia","g_Anaerococcus","g_Anaeroglobus","g_Anoxybacillus","g_Aquabacterium","g_Arcanobacterium","g_Arthrobacter","Atopobium_deltae","Atopobium_minutum","g_Bacillus","g_Bacteroides","g_Barnesiella","g_Bifidobacterium","g_Bilophila","g_Blautia","g_Bradyrhizobium","g_Brevibacterium","g_Bulleidia","g_Burkholderia","g_Butyricimonas","g_Campylobacter","g_Capnocytophaga","g_Cardiobacterium","g_Catonella","g_Chlamydia","g_Chryseobacterium","g_Citrobacter","g_Cloacibacterium","BVAB2","BVAB1","g_Clostridioides","g_Clostridium","g_Collinsella","g_Comamonas","g_Corynebacterium","g_Criibacterium","g_Cronobacter","g_Curtobacterium","g_Cutibacterium","g_Dakarella","g_Delftia","g_Dermabacter","g_Desulfovibrio","g_Dialister","g_Dorea","g_Eggerthella","g_Eggerthia","g_Eikenella","g_Enterobacter","g_Enterococcus","g_Eremococcus","g_Erwinia","g_Erysipelatoclostridium","g_Escherichia","g_Ezakiella","g_Facklamia","g_Faecalibacterium","g_Fannyhessea","g_Fenollaria","g_Filifactor","g_Finegoldia","g_Fusobacterium","Gardnerella_vaginalis","g_Gemella","g_Geobacillus","g_Gleimia","g_Globicatella","g_Granulicatella","g_Haemophilus","g_Hafnia","g_Herbaspirillum","g_Janibacter","g_Janthinobacterium","g_Jonquetella","g_Klebsiella","g_Lachnoanaerobaculum","g_Lachnoclostridium","g_Lachnospira","g_Lactiplantibacillus","Lactobacillus_acidophilus","Lactobacillus_amylovorus","Lactobacillus_casei","Lactobacillus_coleohominis","Lactobacillus_crispatus","Lactobacillus_curvatus","Lactobacillus_delbrueckii","Lactobacillus_gasseri","Lactobacillus_helveticus","Lactobacillus_iners","Lactobacillus_jensenii","Lactobacillus_johnsonii","Lactobacillus_kefiranofaciens","Lactobacillus_kitasatonis","Lactobacillus_mucosae","Lactobacillus_mulieris","Lactobacillus_reuteri","Lactobacillus_rhamnosus","Lactobacillus_ruminis","Lactobacillus_vaginalis","g_Lactococcus","g_Lancefieldella","g_Leptotrichia","g_Leuconostoc","g_Ligilactobacillus","g_Limosilactobacillus","g_Listeria","g_Mageeibacillus","g_Massilia","g_Megasphaera","g_Methylobacterium","g_Micrococcus","g_Mobiluncus","g_Mogibacterium","g_Moraxella","g_Morganella","g_Murdochiella","g_Mycoplasma","g_Negativicoccus","g_Neisseria","g_Odoribacter","g_Olegusella","g_Oligella","g_Olsenella","g_Pantoea","g_Parabacteroides","g_Paraburkholderia","g_Paracoccus","g_Parvimonas","g_Pauljensenia","g_Pectobacterium","g_Pediococcus","g_Peptococcus","g_Peptoniphilus","g_Peptostreptococcus","g_Phocaeicola","g_Photobacterium","g_Porphyromonas","Prevotella_amnii","Prevotella_baroniae","Prevotella_bergensis","Prevotella_bivia","Prevotella_buccae","Prevotella_buccalis","Prevotella_colorans","Prevotella_copri","Prevotella_corporis","Prevotella_dentalis","Prevotella_denticola","Prevotella_disiens","Prevotella_histicola","Prevotella_intermedia","Prevotella_lascolaii","Prevotella_loescheii","Prevotella_marshii","Prevotella_melaninogenica","Prevotella_micans","Prevotella_nigrescens","Prevotella_oralis","Prevotella_oris","Prevotella_pleuritidis","Prevotella_ruminicola","Prevotella_shahii","Prevotella_stercorea","Prevotella_timonensis","Prevotella_veroralis","g_Propionimicrobium","g_Pseudoflavonifractor","g_Pseudoglutamicibacter","g_Pseudomonas","g_Psychrobacter","g_Rahnella","g_Ralstonia","g_Raoultella","g_Rhodococcus","g_Roseburia","g_Rothia","g_Ruminococcus","g_Sanguibacter","g_Schaalia","g_Serratia","g_Shigella","g_Slackia","Sneathia_amnii","Sneathia_sanguinegens","g_Solobacterium","g_Sphingobium","g_Staphylococcus","g_Stenotrophomonas","g_Streptococcus","g_Sutterella","g_Tannerella","g_Treponema","g_Trueperella","g_Ureaplasma","g_Urinicoccus","g_Vaginella","g_Varibaculum","g_Variovorax","g_Veillonella","g_Weissella","g_Winkia","g_Xanthomonas","g_Eubacterium","I.A_sim","I.B_sim","II_sim","III.A_sim","III.B_sim","IV.A_sim","IV.B_sim","IV.C0_sim","IV.C1_sim","IV.C2_sim","IV.C3_sim","IV.C4_sim","V_sim","subCST","score","CST"
"subject_158_day_18",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997986054972997,0.890806234806954,0.0041931207982288,0.00159183827461929,0.0968888814177382,0.00124357336273221,0.00960358146681611,0.0396295956031197,0.00615788604667899,0.0260880253387723,0.002453864570181,0.00644497651882607,0.0257021024767253,"I-A",0.997986054972997,"I"
"subject_98_day_5",1492645,0,0,0,0,0,25,0,0,0,0,0,0,391,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,10331,0,0,0,172,0,27,0,0,33,0,0,0,0,0,77,0,0,0,2084,0,0,0,0,0,0,504,0,2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084138,0,0,0,0,307265,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,12260,0,0,2146,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,302,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,0,0,0,0,2330,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37364,0,28017,0,0,0,0,0,0,0,161,0,0,0,35,0,0,0.879616290318713,0.956037248906077,0.0177989477427217,0.156712662075176,0.287013946514311,0.0181086679896728,0.0463027503406615,0.0783988601522913,0.0244832684492875,0.0324246840622348,0.00639559704174479,0.0592162192401552,0.0909943524195351,"I-B",0.956037248906077,"I"
"subject_98_day_25",2271745,0,43,0,102,0,62,0,0,47,0,26,0,1385,0,0,0,0,0,0,97,0,737,0,191,0,307,0,35,0,0,0,132,38,0,0,0,0,0,0,0,0,0,0,0,0,13858,0,0,0,1989,0,22,30,0,321,137,16,0,0,0,0,0,0,0,839,0,56,715,0,112,0,5093,70,1806,0,0,0,0,0,67,0,0,0,102,0,0,0,0,27,0,0,0,0,0,1397946,0,0,0,0,778283,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,29111,0,0,5655,0,0,605,0,0,0,0,0,0,20,0,19,225,0,0,0,0,0,0,0,0,0,0,0,2916,1249,635,0,55,34,0,97,7359,0,611,0,0,40,0,0,27,0,0,0,0,0,0,0,69,0,42,0,0,0,0,5762,0,0,0,0,6686,0,26,95,0,0,126,0,559,0,36,0,0,0,0,0,13,58,1290,35,1011,0,0,0,0,0,0,0,570,0,130,0,0,0,1602,0.718151006492473,0.833471083740058,0.0276485452591362,0.310046678685153,0.468675951054245,0.0321680552527091,0.0763205107603432,0.099233270638876,0.0151951521683656,0.0308745406039626,0.00307618927173794,0.0713640985202746,0.145549196656782,"I-B",0.833471083740058,"I"
"subject_98_day_24",2699909,0,93,0,430,0,100,0,19,209,0,82,0,3726,0,0,0,0,0,0,350,0,2332,0,853,23,876,0,133,0,0,0,424,184,0,0,0,0,0,0,0,18,0,0,0,0,43999,0,0,0,5647,0,0,129,0,1288,473,96,0,0,0,0,0,0,0,863,0,332,2782,0,453,24,11109,188,2436,47,0,0,0,0,291,0,0,0,492,0,0,0,0,84,0,0,0,0,32,1461811,0,0,0,0,1021239,0,0,0,0,0,0,328,0,0,0,0,29,0,0,0,34779,0,0,5905,72,0,2644,26,0,0,0,0,0,46,125,95,751,0,0,46,109,0,0,49,0,0,0,0,8962,3404,2081,0,248,98,0,305,24477,0,1982,68,0,129,0,26,51,0,0,0,0,0,32,0,180,18,172,0,0,0,0,21264,36,29,0,0,8977,0,93,80,0,0,407,33,2050,0,97,0,0,24,0,0,22,56,4627,69,2905,0,0,0,0,0,0,0,2092,0,471,20,51,33,5565,0.623812630529244,0.754095914955858,0.0319380577336028,0.376075888101272,0.555594101035785,0.0392729861384949,0.0917614575400807,0.113768759506747,0.0171271183600627,0.0306174671117293,0.00357506807884269,0.0858325732966949,0.169690655671807,"I-B",0.754095914955858,"I"
"subject_98_day_6",308238,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238,0,0,0,323,0,0,0,0,58,0,0,0,0,0,0,0,0,0,1744,0,0,0,0,0,0,139,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234396,0,0,0,0,60922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2542,0,0,1185,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,81,0,0,0,0,0,0,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1574,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904941164447022,0.95915389305207,0.0163526204558712,0.144044512991463,0.26820551300485,0.0161574164971732,0.041955511286262,0.0719861929507489,0.0130656724852865,0.0305831631600768,0.00345150585507874,0.0414452577304168,0.0849349805090618,"I-B",0.95915389305207,"I"
"subject_98_day_18",1071671,0,18,0,0,0,62,0,17,0,0,0,0,73,0,0,0,0,0,0,131,0,0,0,0,0,0,17,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1717,0,0,0,783,0,77,0,0,265,0,0,0,0,0,0,0,0,0,2327,0,0,18,0,41,0,410,0,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386480,0,0,0,0,633532,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,7287,0,0,13595,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,121,0,0,35,17,0,38,4856,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443,0,0,0,0,15102,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,135,437,64,0,0,0,0,0,0,0,0,21,0,38,0,0,0,0,0.331777666892996,0.418321256901224,0.0443943292619771,0.700403296658125,0.859041197515446,0.0564493888338353,0.127516363224332,0.11873137306065,0.0193014846405534,0.0253489168979099,0.00235849819088064,0.122714333645251,0.242025856025594,"III-B",0.859041197515446,"III"
"subject_98_day_15",973193,0,0,0,0,0,45,0,0,0,0,0,0,204,0,0,0,0,0,0,29,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4677,0,0,0,374,0,27,0,0,25,0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,0,516,0,3276,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184830,0,0,0,0,758428,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,6443,0,0,5341,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,29,0,0,0,0,0,0,630,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,6046,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,35,525,28,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0.134893947207471,0.188249221956047,0.0483302421500595,0.930583418240997,0.921489220255693,0.0590275417005796,0.129995888442613,0.09848609159894,0.0193445319831388,0.0184294257452309,0.00161537690822692,0.131163184324191,0.257552322312094,"III-A",0.930583418240997,"III"
"subject_98_day_21",750005,0,0,0,28,0,49,0,0,0,15,0,0,172,0,0,0,0,0,0,30,0,0,0,50,0,19,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,0,0,0,1274,0,30,27,0,57,0,0,0,0,0,23,0,0,0,1063,0,0,39,0,18,0,396,20,18708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226901,0,0,0,0,468190,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,9775,0,0,6966,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2395,45,0,0,47,0,0,0,1717,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,656,0,0,0,0,7731,0,0,136,0,0,0,0,39,0,0,0,0,0,0,0,0,66,609,42,0,0,0,0,0,0,0,0,22,0,58,0,0,0,84,0.264385930968134,0.342491967677886,0.0484545354423991,0.767468970108123,0.916134662114712,0.0672691946511532,0.149670343764289,0.119619676260342,0.0201655196225692,0.023878879852206,0.00227770787701115,0.13083909189774,0.256168084331337,"III-B",0.916134662114712,"III"
"subject_98_day_27",2599033,0,0,0,0,0,29,0,0,0,0,0,0,80,0,0,0,0,0,0,20,0,33,0,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426,0,0,0,99,0,21,21,0,22,0,0,0,0,0,0,0,0,0,996,0,20,47,0,0,0,387,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286578,0,0,0,0,273993,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,15623,0,0,8443,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,39,0,0,0,0,0,0,420,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,8842,0,0,113,0,0,0,0,21,0,0,0,0,0,0,0,0,43,113,39,61,0,0,0,0,0,0,0,29,0,0,0,0,0,70,0.980820911118568,0.952057750180244,0.00979088183862411,0.0649762055667284,0.171289434664996,0.00771852880630952,0.0236648867307463,0.0538192690370847,0.00848219488382386,0.0284353524977762,0.00265940926883482,0.0205643437271207,0.0522872187258898,"I-A",0.980820911118568,"I"
"subject_158_day_13",82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997986054972997,0.890806234806954,0.0041931207982288,0.00159183827461929,0.0968888814177382,0.00124357336273221,0.00960358146681611,0.0396295956031197,0.00615788604667899,0.0260880253387723,0.002453864570181,0.00644497651882607,0.0257021024767253,"I-A",0.997986054972997,"I"
